name	title	type	parent
_widget_1681712851050	流水号	sn	
_widget_1565937861689	*提交人	user	
_widget_1563772783339	下卡日期	datetime	
_widget_1693447186027	客户编号	text	
_widget_1593849162158	编号查询	linkfield	
_widget_1561431499614	单位名称	combo	
_widget_1561431499461	部门	dept	
_widget_1561431499444	业务人员	user	
_widget_1593849161675	合同状态	radiogroup	
_widget_1613546005247	变动原因	text	
_widget_1703462723292	合同获取信息方式	radiogroup	
_widget_1404460362158	编号查询-（合同号）	text	
_widget_1677801576468	合同/项目评审信息	separator	
_widget_1677806810340	选择合同/项目评审信息	linkfield	
_widget_1677801667664	合同/项目评审流水号	text	
_widget_1677801576469	24.2.3合同/项目评审信息查看0303	linkquery	
_widget_1701052288708	以下为小萌合同评审内容1127	separator	
_widget_1701052288707	选择小萌合同评审1127	linkfield	
_widget_1701052373745	小萌合同评审流水号1127	text	
_widget_1701052373744	选择小萌合同评审信息查看1127	linkquery	
_widget_1634520599437	出厂编号	text	
_widget_1623374466649	合同产品信息	separator	
_widget_1610591432200	注释	separator	
_widget_1561431499432	订货日期	datetime	
_widget_1561431501010	合同类型	radiogroup	
_widget_1561431499698	合同号	text	
_widget_1563607519120	图纸编号	text	
_widget_1561431499782	项目名称	text	
_widget_1561431499731	对方合同号	text	
_widget_1561431500134	是否含税	radiogroup	
_widget_1575182444885	设备是否出口	radiogroup	
_widget_1647391665368	是否需要安装	radiogroup	
_widget_1664948274718	信息是否齐全	radiogroup	
_widget_1664948274739	缺少项	checkboxgroup	
_widget_1666255890740	信息不齐全备注	textarea	
_widget_1621411268101	出口类型	text	
_widget_1676104999490	合同形式	radiogroup	
_widget_1721205724881	是否标准交付	radiogroup	
_widget_1721205724883	方式	radiogroup	
_widget_1749715722571	是否为旋振筛	radiogroup	
_widget_1721293963816	填写代码	text	
_widget_1721205725083	采购员多选	usergroup	
_widget_1721205725117	质检员多选	usergroup	
_widget_1561431500151	合同明细	subform	
_widget_1621411268784	是否外币合同	radiogroup	合同明细
_widget_1561431500162	产品类型	combo	合同明细
_widget_1561431500376	产品名称	text	合同明细
_widget_1561431500392	规格型号	text	合同明细
_widget_1561431500419	单位	text	合同明细
_widget_1561431500458	数量	number	合同明细
_widget_1621411268153	外币单价	number	合同明细
_widget_1621411269220	汇率	number	合同明细
_widget_1561431500490	单价	number	合同明细
_widget_1561431500514	总价	number	合同明细
_widget_1621411268210	外币总价	number	合同明细
_widget_1561431500595	电控装置	combo	合同明细
_widget_1565223122750	技术参数及要求	text	合同明细
_widget_1697420581927	备注(①生产卡上按序号排列的项目，某设备已经包含在其他设备内时，在备注栏加填*。②生产卡上按序号排列的项目，某设备不需要供货时，在备注栏加填#）	text	合同明细
_widget_1561511175392	合同总金额	number	
_widget_1565157771516	技术参数及要求	textarea	
_widget_1561431501051	包装情况	text	
_widget_1566366881094	油漆要求	radiogroup	
_widget_1563281842830	工作量	radiogroup	
_widget_1623374466732	合同收款信息	separator	
_widget_1561431500766	付款形式	checkboxgroup	
_widget_1561431500955	付款方式文字描述	text	
_widget_1561431500970	合同交货期	datetime	
_widget_1561431500982	交货期条款	text	
_widget_1561431500797	收款计划	subform	
_widget_1661242797064	日期时间	datetime	收款计划
_widget_1561431500818	付款方式	combo	收款计划
_widget_1561431500832	付款比例（%）	number	收款计划
_widget_1561431500855	付款金额	number	收款计划
_widget_1665380027624	ID辅助	text	收款计划
_widget_1665380028160	是否提醒	text	收款计划
_widget_1665380027757	消息辅助	text	收款计划
_widget_1696822285599	质保期限	text	
_widget_1696822285597	质保金额	number	
