---	客户编号	sn
OPT	日期时间	datetime
REQ	是否智能化客户信息备案	radiogroup
REQ	是否外贸客户	radiogroup
REQ	客户名称	text
REQ	注册资金（万元）	number
REQ	实缴资本（万元）	number
REQ	成立年份	datetime
REQ	地址	address
REQ	母公司或者控股公司情况及性质说明	text
REQ	所属行业	radiogroup
REQ	客户性质	radiogroup
REQ	客户关系	radiogroup
REQ	客户类型	radiogroup
REQ	主联系人职位	radiogroup
REQ	客户工资及保险情况	radiogroup
OPT	联系人明细	subform
OPT	国外客户信息	separator
OPT	国家/地区	text
REQ	业务员	user
OPT	客户简称*	text
OPT	客户代码	text
OPT	国别*	text
OPT	客户类型*	combo
OPT	关注产品	combo
OPT	客户来源	combo
OPT	邮箱*	text
OPT	主页	text
OPT	主营产品	checkboxgroup
OPT	联系人信息	subform
OPT	智能化项目客户信息备案信息	separator
REQ	企业法人	text
REQ	企业员工人数	number
REQ	公司负责对接人	user
OPT	公司负责对接人（辅助）	text
OPT	业务部门	dept
REQ	所属行业分类	text
OPT	年运行天数	text
OPT	占地面积	text
OPT	企业财务状况	text
OPT	企业经营状况	text
OPT	年用电量	text
OPT	日运营小时数	text
OPT	企业组织架构图	image
OPT	开票信息	separator
REQ	纳税人识别号	text
OPT	地址电话	text
OPT	开户行帐号	text
REQ	是否公司客户	radiogroup
OPT	其他	separator
OPT	是否跟进	radiogroup
OPT	跟进状态	number
OPT	辅助	number
OPT	信息分发-客户（231209增加辅助）	radiogroup
OPT	信息来源（231209增加辅助）	radiogroup
